StateName,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alabama,AL,14471879.2,14396072.6,14229364.9,13851115.6,12191385.8,11373880.7,11954965.9,11806005.2,11554014.7,11400555.6,10927739.0,11109406.4
Alaska,AK,15014.4,15541.0,9358.4,12675.4,14491.1,8379.7,2777.3,3659.4,4004.8,3368.9,1922.5,1250.8
Arizona,AZ,33012.9,31840.5,37696.429309,215299.2,355184.8,384866.4,398203.5,321902.3,327757.1,325223.1,356346.2,317269.3
Arkansas,AR,6542650.5,6913212.810609,6602633.076878,6438789.5,6633899.3,5910391.0,5699584.0,6152037.2,5787497.3,5891868.7,4709384.7,4560553.6
California,CA,1980592.164213,2768388.865294,3338050.664302,3001972.7,2914330.4,2714340.9,2373503.5,1241910.6,1089106.3,919430.9,883807.3,1015920.4
Colorado,CO,115933.3,112507.14369,29052.844029,32244.8,95625.7,32030.7,138359.8,144961.8,137182.3,107896.7,131591.1,142658.2
Connecticut,CT,1299085.0,1268514.469733,1250733.615922,1225076.6,1181836.6,1106107.7,1103658.4,1166158.0,990644.9,1019454.6,1124353.9,1079177.3
Florida,FL,13785504.803064,13844384.838047,14043471.162452,14799044.7,14804113.9,14573484.8,13763071.6,14274873.4,14620473.4,14145582.7,13276232.5,14209421.3
Georgia,GA,13775380.8,14024216.161697,14434639.068001,14093982.7,14768613.9,14913455.7,14538799.4,14177668.4,14028137.2,14225018.2,13994187.7,14057905.0
Hawaii,HI,316149.3,385273.5,380287.5,464222.1,398496.6,465846.1,433995.2,467837.1,460464.6,440947.0,501166.8,450293.4
Idaho,ID,1686726.8,1708697.5,1594517.8,1675268.9,1698800.6,1722139.5,1637854.5,1612294.0,1728445.4,1532954.4,1478983.1,1484922.7
Illinois,IL,441010.7,417245.524595,370594.97694,299036.3,307457.4,281419.5,261688.8,249613.2,199231.6,192250.0,195889.3,185058.1
Indiana,IN,757212.223788,678086.420226,665952.538447,711099.2,695953.5,713010.3,653549.5,675491.0,736100.3,693332.2,660865.2,714654.9
Iowa,IA,263961.7,391225.954696,295939.647753,318031.5,313512.1,339202.5,356770.2,302886.7,289539.0,273651.6,226716.4,314502.8
Kansas,KS,39117.4,85862.77034,54240.006679,58040.8,58899.1,66363.6,36952.5,38174.0,36861.3,41128.0,44170.6,49885.9
Kentucky,KY,2494736.4,2473887.9,2420052.5,2260738.2,2236998.7,2001844.9,1359734.1,1380976.4,1255367.0,1311307.8,1265656.0,1574168.2
Louisiana,LA,10637463.2,10182542.0,10315501.92,10499476.7,9897370.5,9984598.0,9799813.1,9807310.6,9953343.7,8958679.1,8644383.7,8081215.9
Maine,ME,6713535.3,6806659.95245,7048614.864938,7314304.3,6381525.0,5297340.4,4943949.2,4859580.3,4938320.3,5103725.6,4456792.2,3856854.1
Maryland,MD,1598068.2,1685399.3,1543564.2,1487225.2,1497562.7,1431489.6,1371852.7,1364074.1,1429167.6,1121778.1,726929.5,741125.4
Massachusetts,MA,1865341.6,1850472.806404,1760756.095973,1835450.2,1832373.2,1770947.4,1697978.4,1741755.6,1762275.6,1697402.3,1657482.8,1707701.8
Michigan,MI,3938895.6,4105576.438228,4338233.096398,4173898.6,3922277.6,3779543.5,3599759.2,3572458.0,3460244.0,3056039.6,2809409.7,3098170.2
Minnesota,MN,4153667.7,4168065.544004,4301012.990765,3939213.7,4205856.4,3615474.1,3758587.9,3715185.5,3662200.2,3155256.2,3078049.6,3170881.7
Mississippi,MS,5334231.9,5238825.7,4977143.6,5234903.9,5419141.5,4493360.449284,5251585.6,5099511.6,5208810.0,4954036.0,4895277.7,4894949.2
Missouri,MO,85095.0,78433.1,90320.710553,82340.2,75676.7,101718.5,75614.3,84507.6,73523.1,67051.4,102541.9,102303.2
Montana,MT,8248.0,184243.0,214068.0,211970.0,239093.0,220086.0,222265.0,198768.0,183247.7,189321.0,199467.0,202853.0
Nebraska,NE,169613.8,98566.555513,93139.593415,93799.1,94565.4,104693.4,107752.6,111138.8,106625.9,110325.5,98754.7,91060.9
Nevada,NV,0.0,0.0,10761.8899,13894.5,14059.3,14603.0,14582.7,14465.0,14764.2,13309.2,13656.4,12087.8
New Hampshire,NH,914485.7,827798.6,908142.618171,935471.8,786125.7,784179.2,626755.6,623330.4,579869.3,574709.6,213598.6,184609.6
New Jersey,NJ,1126489.4,1348245.8,1238073.8,1221695.6,1199213.7,1160417.1,1189861.1,1228936.1,1237647.7,1159202.8,1091683.5,1096300.1
New York,NY,3336097.5,3187203.15624,3196435.585124,3542253.9,3550887.9,3478189.7,3531323.1,3680454.3,3637669.8,3471308.9,3503351.9,3523843.2
North Carolina,NC,6905849.2,7599385.582044,8036178.469576,8277977.1,7506050.9,7451174.5,7001990.4,7569691.2,7047177.2,6650084.8,6581791.2,6367376.3
North Dakota,ND,11984.6,13039.5,12117.9,19738.1,10079.8,24770.8,26128.3,28795.5,19686.5,70776.1,54835.7,81502.2
Ohio,OH,1255760.5,1111823.965441,1113753.750915,1042742.4,1229926.8,1145595.3,960752.5,910446.6,815355.2,792103.9,891095.7,736923.2
Oklahoma,OK,1576132.3,1562984.7,1667182.0,1683737.3,1493241.7,1451216.2,1462261.0,1554775.3,1484104.2,1338840.1,1621624.7,1450214.7
Oregon,OR,2880062.4,2998701.441679,3050123.199603,3068896.4,2936563.0,2628245.5,2281423.3,2290418.6,2237039.6,2039322.7,2042232.8,1941820.6
Pennsylvania,PA,3403867.4,3424783.51038,3492348.912822,3465047.7,3287065.1,3451254.8,3289164.2,3477589.4,3476480.2,3492296.0,3411207.3,3313445.9
South Carolina,SC,8926995.5,9411199.5,9856821.1,9662369.7,10255457.5,9901523.6,9546164.2,9524322.8,9613405.4,9246797.5,8315729.7,8738796.5
South Dakota,SD,197929.2,174016.2,155076.6,98885.7,114176.7,122581.2,167895.1,207636.0,164542.3,132568.9,92190.1,200432.4
Tennessee,TN,4275650.8,3663112.254454,3614512.131328,3527586.7,3814736.7,3721013.4,3664704.9,3606271.1,3816232.3,3661744.7,3270355.2,2895524.8
Texas,TX,5613631.774956,5050959.790019,5068173.839746,5263501.7,5380808.5,5202023.5,5180330.1,4890922.3,4981794.6,4760518.3,4617738.3,4549006.0
Utah,UT,68452.9,68956.1,75304.1,59950.0,55802.0,43223.7,53515.6,31477.6,13705.7,10519.9,14128.0,15194.5
Virginia,VA,5586885.8,5597418.558081,5848154.445957,6863761.4,7617520.3,7758906.6,7497486.9,6371264.0,6756739.5,6688238.5,6367971.9,6306070.1
Washington,WA,6493421.2,6616067.5,7488559.2,7225146.9,7533174.4,7305059.2,6888929.2,6578322.8,6377201.5,6889068.1,5557411.4,5702016.6
West Virginia,WV,11.5,14.4,0.0,18.4,23.9,23.4,516.5,0.0,0.2,0.0,0.1,0.3
Wisconsin,WI,3730794.9,4180326.383206,4156442.787441,4336007.3,4193027.2,3550725.3,3491893.1,3247457.1,3313910.0,3052542.7,2574360.2,2239266.4
Wyoming,WY,0.0,0.0,467.2,3428.6,1828.5,4075.0,424.3,527.8,0.0,110.2,0.0,0.0
Puerto Rico,PR,0.0,0.0,0.0,0.0,0.0,0.0,3695.1,7026.7,9685.9,11885.7,10790.1,11545.5
Delaware,DE,0.0,57369.0,26180.0,0.0,0.0,0.0,0.0,0.0,16344.5,10460.7,17426.0,8663.6
Vermont,VT,428286.7,373877.9,374246.5,28540.0,14870.0,13659.0,0.0,0.0,0.0,0.0,0.0,0.0
New Mexico,NM,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,3803.2,3625.1,2905.7
