CountyName,CountyID,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Autauga County,geoId/01001,2941944.5,4362921.0,6315256.5,5425481.0,5291111.6,6454793.2,5913544.0,4711532.6,5006617.5,4732694.5,4935863.1,4635470.1
Barbour County,geoId/01005,55130.2,56124.3,53695.1,57564.0,53100.4,42508.8,27099.3,0.3,19408.9,19843.6,8862.1,13553.4
Barbour County,geoId/54001,55130.2,56124.3,53695.1,57564.0,53100.4,42508.8,27099.3,0.3,19408.9,19843.6,8862.1,13553.4
Blount County,geoId/01009,200267.3,191408.0,193472.0,196881.0,187084.3,208357.0,226342.7,216748.9,220338.3,184650.4,158096.8,203575.7
Blount County,geoId/47009,200267.3,191408.0,193472.0,196881.0,187084.3,208357.0,226342.7,216748.9,220338.3,184650.4,158096.8,203575.7
Calhoun County,geoId/01015,6044156.0,7324752.8,7296179.0,6935569.4,6307389.4,6550035.7,5484478.5,5134500.3,5820505.3,5718265.7,4958415.8,7048589.6
Calhoun County,geoId/05013,6044156.0,7324752.8,7296179.0,6935569.4,6307389.4,6550035.7,5484478.5,5134500.3,5820505.3,5718265.7,4958415.8,7048589.6
Calhoun County,geoId/12013,6044156.0,7324752.8,7296179.0,6935569.4,6307389.4,6550035.7,5484478.5,5134500.3,5820505.3,5718265.7,4958415.8,7048589.6
Calhoun County,geoId/13037,6044156.0,7324752.8,7296179.0,6935569.4,6307389.4,6550035.7,5484478.5,5134500.3,5820505.3,5718265.7,4958415.8,7048589.6
Calhoun County,geoId/17013,6044156.0,7324752.8,7296179.0,6935569.4,6307389.4,6550035.7,5484478.5,5134500.3,5820505.3,5718265.7,4958415.8,7048589.6
Calhoun County,geoId/19025,6044156.0,7324752.8,7296179.0,6935569.4,6307389.4,6550035.7,5484478.5,5134500.3,5820505.3,5718265.7,4958415.8,7048589.6
Calhoun County,geoId/26025,6044156.0,7324752.8,7296179.0,6935569.4,6307389.4,6550035.7,5484478.5,5134500.3,5820505.3,5718265.7,4958415.8,7048589.6
Calhoun County,geoId/28013,6044156.0,7324752.8,7296179.0,6935569.4,6307389.4,6550035.7,5484478.5,5134500.3,5820505.3,5718265.7,4958415.8,7048589.6
Calhoun County,geoId/45017,6044156.0,7324752.8,7296179.0,6935569.4,6307389.4,6550035.7,5484478.5,5134500.3,5820505.3,5718265.7,4958415.8,7048589.6
Calhoun County,geoId/48057,6044156.0,7324752.8,7296179.0,6935569.4,6307389.4,6550035.7,5484478.5,5134500.3,5820505.3,5718265.7,4958415.8,7048589.6
Calhoun County,geoId/54013,6044156.0,7324752.8,7296179.0,6935569.4,6307389.4,6550035.7,5484478.5,5134500.3,5820505.3,5718265.7,4958415.8,7048589.6
Chambers County,geoId/01017,3970557.4,3461380.7,4148458.82,3658034.3,3865722.1,4411867.4,4779132.0,4859191.2,6295833.8,7061440.9,7483525.8,7230528.5
Chambers County,geoId/48071,3970557.4,3461380.7,4148458.82,3658034.3,3865722.1,4411867.4,4779132.0,4859191.2,6295833.8,7061440.9,7483525.8,7230528.5
Chilton County,geoId/01021,106114.02,75207.99,79236.72,44512.51,31623.4,28404.8,15090.1,15166.9,28468.3,21962.5,10810.4,7713.1
Choctaw County,geoId/01023,2694678.3,2775349.9,2487644.4,3360761.9,2758934.8,2729286.1,2268306.3,2817990.1,1928299.8,657144.2,248183.8,1008684.2
Choctaw County,geoId/28019,2694678.3,2775349.9,2487644.4,3360761.9,2758934.8,2729286.1,2268306.3,2817990.1,1928299.8,657144.2,248183.8,1008684.2
Choctaw County,geoId/40023,2694678.3,2775349.9,2487644.4,3360761.9,2758934.8,2729286.1,2268306.3,2817990.1,1928299.8,657144.2,248183.8,1008684.2
Clarke County,geoId/01025,61675.1,62092.3,77823.1,45567.7,44839.2,66605.5,74192.3,66239.0,79875.4,71572.0,67374.0,71610.2
Clarke County,geoId/13059,61675.1,62092.3,77823.1,45567.7,44839.2,66605.5,74192.3,66239.0,79875.4,71572.0,67374.0,71610.2
Clarke County,geoId/19039,61675.1,62092.3,77823.1,45567.7,44839.2,66605.5,74192.3,66239.0,79875.4,71572.0,67374.0,71610.2
Clarke County,geoId/28023,61675.1,62092.3,77823.1,45567.7,44839.2,66605.5,74192.3,66239.0,79875.4,71572.0,67374.0,71610.2
Clarke County,geoId/51043,61675.1,62092.3,77823.1,45567.7,44839.2,66605.5,74192.3,66239.0,79875.4,71572.0,67374.0,71610.2
Colbert County,geoId/01033,6602293.4,5415299.8,4009652.8,3941910.1,4192275.2,3831973.0,1774060.7,694596.7,667230.6,696610.5,689798.7,632637.2
Coosa County,geoId/01037,82445.78,76292.36,69425.33,52057.81,33056.8,33089.4,31696.9,38227.7,81347.2,77806.1,82533.2,69439.7
Cullman County,geoId/01043,77464.1,74498.8,78923.7,82845.3,82699.1,86559.2,89840.1,92127.7,93384.0,96358.1,99437.6,81349.2
Dallas County,geoId/01047,943531.375097,1784531.879,1803556.501511,1723439.2,1869737.5,1658907.5,7408283.4,7832538.2,8893848.9,10592391.3,10166832.6,10164743.9
Dallas County,geoId/05039,943531.375097,1784531.879,1803556.501511,1723439.2,1869737.5,1658907.5,7408283.4,7832538.2,8893848.9,10592391.3,10166832.6,10164743.9
Dallas County,geoId/19049,943531.375097,1784531.879,1803556.501511,1723439.2,1869737.5,1658907.5,7408283.4,7832538.2,8893848.9,10592391.3,10166832.6,10164743.9
Dallas County,geoId/29059,943531.375097,1784531.879,1803556.501511,1723439.2,1869737.5,1658907.5,7408283.4,7832538.2,8893848.9,10592391.3,10166832.6,10164743.9
Dallas County,geoId/48113,943531.375097,1784531.879,1803556.501511,1723439.2,1869737.5,1658907.5,7408283.4,7832538.2,8893848.9,10592391.3,10166832.6,10164743.9
Elmore County,geoId/01051,88455.8,79652.1,73648.2,159513.6,73338.9,237288.7,173861.5,90505.7,163478.5,359330.7,344834.0,497753.9
Elmore County,geoId/16039,88455.8,79652.1,73648.2,159513.6,73338.9,237288.7,173861.5,90505.7,163478.5,359330.7,344834.0,497753.9
