StateName,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alabama,AL,96764446.733048,97383027.11,90208231.032,89067161.968,91249688.732,86055918.1301,78850038.4,73701702.4,75880987.4,69819726.9,62793376.9,68215710.1
Alaska,AK,15421107.7,17440426.0,17696455.086709,17427265.2,16821886.9,17167608.5,17316714.7,17664752.7,17188712.6,17443597.0,17070189.4,16939106.6
Arizona,AZ,58152457.991809,56694089.809,56321170.387017,58761116.2,57926199.4,54566811.8,49116294.5,48675815.7,51362816.9,47406751.9,39664432.3,38392400.3
Arkansas,AR,38808194.303704,41791242.276,42823900.828182,43385719.9,43432226.5,34276949.2,35987371.0,38216285.9,44107864.5,39149463.7,29612211.0,36628789.1
California,CA,100907327.881172,94446995.4189086,106082846.565945,107444200.792,108450118.948,104963612.4,97946736.1,94792029.8,96885512.0,93214059.9,91064955.9,91754567.1
Colorado,CO,39066085.95929,42708692.082,44488123.732494,47272406.768,47273223.308,47278262.42264,51494462.2471,53776292.4734,57675917.9117,58653705.4096,48893542.7071,50334501.4701
Connecticut,CT,9665845.1,8290829.3,8531496.9,8629379.4,8511431.7,9300113.6,8803437.2,7997654.7,9844942.5,9112268.4,10377942.1,10812606.9
Delaware,DE,4597934.4,6534291.2,8868021.8,7932196.7,7798502.2,7547437.4,7832060.8,6560049.1,6578229.5,5506618.1,5413261.7,5142434.0
District of Columbia,DC,362577.9,256460.7,108009.1,95476.9,93868.8,84074.5,87010.1,93551.1,103878.3,104468.9,98978.1,88594.0
Florida,FL,133513567.017006,123368332.45,120435411.068049,117882374.98,123068167.80556,122066165.142331,119733363.488061,116905681.573107,114478756.089548,106375573.51,104672445.5,102634265.8
Georgia,GA,80286845.972604,72240985.562,63488233.953362,62979970.73,68916956.4,64963972.5,66146213.9,60207152.9,60274357.6,56314887.9,43997423.8,48611013.4
Hawaii,HI,9061988.383151,9232938.383,8888298.600533,8296729.2,8484269.6,8362286.2,8274164.9,7831062.8,7853284.0,7669070.9,6798273.0,6673998.5
Idaho,ID,2733773.48,2889484.47,3135942.71,4022349.76,3492209.9,4077248.6,3811339.6,3681801.6,3653801.8,4349367.0,4214346.0,4517006.4
Illinois,IL,128799381.329464,127105695.26484,119796906.925619,122533580.5,121519520.6,108777960.0,96055580.5,92802931.5,97198885.5,88619785.4,70100418.7,79693912.1
Indiana,IN,139448382.093344,141379724.431,134568469.842808,132085516.0,136297473.1,117448577.1,118038056.7,117555306.6,122696675.8,109620775.8,93164613.4,100804811.4
Iowa,IA,58328480.439823,55424995.838,52870762.309988,50853404.4,51349009.1,47379077.6,43572646.8,47662754.0,52855488.8,46187311.7,37711454.2,45162631.1
Kansas,KS,46293553.637382,45864975.136,41992843.775335,43147117.8,42419500.0,38327731.5,36763322.7,33019741.3,34469851.0,31689199.1,30662580.0,32461764.3
Kentucky,KY,102765304.7,102279736.18506,95739865.5893609,94003877.3,94824974.1,84683118.7,78982921.0,69102184.9,74552678.5,66014700.5,56890716.8,64178466.3
Louisiana,LA,110671974.521,119343848.981,116274407.686,114696806.244,115163179.591,115819646.75875,117695118.3,119350568.2,122768062.701004,124736489.315346,114693293.237947,116792448.503856
