CountyName,CountyID,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Autauga County,geoId/01001,2982136.634,4491863.358,6447401.892,5530155.518,5388098.432,6531961.946,5999899.896,4796002.468,5084529.918,4809894.832,5008617.182,4707873.446
Baldwin County,geoId/01003,0.0,35494.3,43297.3,23200.66,26664.756,27428.242,42389.244,10806.578,24411.13,19953.094,18947.704,17868.008
Baldwin County,geoId/13009,0.0,35494.3,43297.3,23200.66,26664.756,27428.242,42389.244,10806.578,24411.13,19953.094,18947.704,17868.008
Barbour County,geoId/01005,0.0,404513.0,372969.25,405799.75,365771.0,323319.75,400893.75,559443.25,550500.75,493613.75,447089.5,612664.0
Barbour County,geoId/54001,0.0,404513.0,372969.25,405799.75,365771.0,323319.75,400893.75,559443.25,550500.75,493613.75,447089.5,612664.0
Blount County,geoId/01009,280013.0,231046.45,234144.03,242031.76,234752.744,253122.22,279452.446,292314.984,292117.47,255753.104,226330.604,288644.382
Blount County,geoId/47009,280013.0,231046.45,234144.03,242031.76,234752.744,253122.22,279452.446,292314.984,292117.47,255753.104,226330.604,288644.382
Calhoun County,geoId/01015,6063040.034,7390760.17,7348326.842,7002800.192,6353878.072,6590377.194,5524402.836,5172369.596,5856372.748,5756920.466,4993249.42,7107256.86
Calhoun County,geoId/05013,6063040.034,7390760.17,7348326.842,7002800.192,6353878.072,6590377.194,5524402.836,5172369.596,5856372.748,5756920.466,4993249.42,7107256.86
Calhoun County,geoId/12013,6063040.034,7390760.17,7348326.842,7002800.192,6353878.072,6590377.194,5524402.836,5172369.596,5856372.748,5756920.466,4993249.42,7107256.86
Calhoun County,geoId/13037,6063040.034,7390760.17,7348326.842,7002800.192,6353878.072,6590377.194,5524402.836,5172369.596,5856372.748,5756920.466,4993249.42,7107256.86
Calhoun County,geoId/17013,6063040.034,7390760.17,7348326.842,7002800.192,6353878.072,6590377.194,5524402.836,5172369.596,5856372.748,5756920.466,4993249.42,7107256.86
Calhoun County,geoId/19025,6063040.034,7390760.17,7348326.842,7002800.192,6353878.072,6590377.194,5524402.836,5172369.596,5856372.748,5756920.466,4993249.42,7107256.86
Calhoun County,geoId/26025,6063040.034,7390760.17,7348326.842,7002800.192,6353878.072,6590377.194,5524402.836,5172369.596,5856372.748,5756920.466,4993249.42,7107256.86
Calhoun County,geoId/28013,6063040.034,7390760.17,7348326.842,7002800.192,6353878.072,6590377.194,5524402.836,5172369.596,5856372.748,5756920.466,4993249.42,7107256.86
Calhoun County,geoId/45017,6063040.034,7390760.17,7348326.842,7002800.192,6353878.072,6590377.194,5524402.836,5172369.596,5856372.748,5756920.466,4993249.42,7107256.86
Calhoun County,geoId/48057,6063040.034,7390760.17,7348326.842,7002800.192,6353878.072,6590377.194,5524402.836,5172369.596,5856372.748,5756920.466,4993249.42,7107256.86
Calhoun County,geoId/54013,6063040.034,7390760.17,7348326.842,7002800.192,6353878.072,6590377.194,5524402.836,5172369.596,5856372.748,5756920.466,4993249.42,7107256.86
Chambers County,geoId/01017,3974617.828,3468981.674,4157525.602,3665197.964,3936585.334,4423986.828,4789933.718,4870481.426,6312706.552,7085738.056,7505355.792,7249263.098
Chambers County,geoId/48071,3974617.828,3468981.674,4157525.602,3665197.964,3936585.334,4423986.828,4789933.718,4870481.426,6312706.552,7085738.056,7505355.792,7249263.098
Chilton County,geoId/01021,106223.62,100936.96,83238.17,71682.6,35886.28,32116.642,34508.444,61734.244,33514.142,26906.968,20207.36,11170.82
Choctaw County,geoId/01023,2716442.66,2797766.634,2507741.408,3387910.792,2781226.516,2751313.84,2286634.338,2840758.786,1943881.826,662464.156,250195.288,1016844.018
Choctaw County,geoId/28019,2716442.66,2797766.634,2507741.408,3387910.792,2781226.516,2751313.84,2286634.338,2840758.786,1943881.826,662464.156,250195.288,1016844.018
Choctaw County,geoId/40023,2716442.66,2797766.634,2507741.408,3387910.792,2781226.516,2751313.84,2286634.338,2840758.786,1943881.826,662464.156,250195.288,1016844.018
Clarke County,geoId/01025,61738.668,84022.916,114214.406,75891.02,92301.232,90881.5,99401.77,86175.0,90210.898,84524.98,79694.846,82898.18
Clarke County,geoId/13059,61738.668,84022.916,114214.406,75891.02,92301.232,90881.5,99401.77,86175.0,90210.898,84524.98,79694.846,82898.18
Clarke County,geoId/19039,61738.668,84022.916,114214.406,75891.02,92301.232,90881.5,99401.77,86175.0,90210.898,84524.98,79694.846,82898.18
Clarke County,geoId/28023,61738.668,84022.916,114214.406,75891.02,92301.232,90881.5,99401.77,86175.0,90210.898,84524.98,79694.846,82898.18
Clarke County,geoId/51043,61738.668,84022.916,114214.406,75891.02,92301.232,90881.5,99401.77,86175.0,90210.898,84524.98,79694.846,82898.18
