StateName,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alabama,AL,100269563.310365,109514323.492,101338411.829275,100367776.173,102535115.322,96619315.0688,88362942.285,83764978.9227,86172746.6091,79738704.6402,72194584.9043,76949404.9401
Alaska,AK,16043158.168,18589417.33,18802993.904321,18703313.256,17994729.094,18222949.712,18689841.056,19143194.08,18087359.56,18357510.35,17914963.796,17829879.72
Arizona,AZ,60187809.483691,59127788.977041,58582347.90617,61055378.499073,60758320.740095,57299687.842217,51764071.367241,51101806.792684,54231233.6445374,50113633.982812,42167422.666598,40878981.543169
Arkansas,AR,41264842.285127,45489417.08784,46394207.970696,46201711.258,46456971.656,37195049.932,38470937.018,40644042.556,46636978.799,41477401.116,31957545.66,39045544.287
California,CA,109038023.620189,106838975.772862,117840103.503993,118172993.89905,119037580.364943,115268836.796751,107058855.049311,104209969.040838,106281042.413906,102712836.615501,100599417.405786,100790742.857796
Colorado,CO,40630606.669943,54148554.261527,55642204.977415,56950970.232046,56979161.25498,56712589.392748,63752282.346475,65609648.915684,70308649.780158,71092299.548693,59361199.433263,59523857.201137
Connecticut,CT,9992797.944125,8776289.064373,8978008.314327,9047747.471,8939446.337,9718912.816,9179136.562,8372707.461,10205464.166,9488639.422,10720732.412,11151525.695
Delaware,DE,4750822.898,6870282.943,9246066.735,8287914.385,8204662.074,8086462.149,8355470.982,7068132.143,7037571.48,5947428.81,5812878.534,5552608.15
District of Columbia,DC,363545.076,349135.744,188549.064,146258.308,174637.356,105691.588,100016.158,102156.784,116440.416,111529.204,99084.998,88686.16
Florida,FL,145154460.696301,140654719.588866,133025945.494619,129003968.169,134722700.15405,132558367.303178,133945450.178675,131908385.349523,132852065.781337,119831433.241,119781052.877,116939550.8266
Georgia,GA,86393815.225396,78532212.749349,69925450.378152,69740428.436,75712996.438,71526897.454,72429761.8128,66416250.4872,66677819.54,62707552.0976,50586340.9256,54701039.3212
Hawaii,HI,9408823.074362,9592909.46845,9295627.737315,8659128.634,8828692.826,8708763.198,8555132.066,8117851.252,8116721.268,7924001.526,7020971.428,6914719.9596
Idaho,ID,3104302.424,3342974.661,3616107.573,4662414.176,4101528.210319,4773909.895304,4471117.326743,4311337.154925,4255430.934413,5019381.317501,4881714.380489,5111706.672895
Illinois,IL,133769587.559978,136706243.285152,130113796.471816,133790608.8856,131523538.8352,119632596.7197,106484986.3529,101413945.9824,105187523.7622,95989060.4436,77095600.1654,86298912.1976
Indiana,IN,143732807.88201,148328116.708021,141723870.619973,139112732.782,143346585.216197,124534948.757197,124574260.737773,123913396.384788,129272977.65,116753228.76,99317507.706,106690808.9804
Iowa,IA,60726851.981583,58580142.642222,55810166.613092,53506023.232,53929464.878,49894594.724,46081012.806,50245586.981,55509860.228,48743310.912,40038779.012,47631519.0
Kansas,KS,48783315.778277,48810053.628875,45238488.999659,46484641.32,45796933.414,41056497.9,39550470.398,35403529.824,37053199.916,33973556.616,32440498.98,34297024.8568
Kentucky,KY,109938130.380728,117436857.158491,107662728.221775,106083420.98338,107141695.90576,95086334.441,87145266.945,79544929.9115,83317495.005,74934907.852,63789080.702,70909647.3137
Louisiana,LA,119407945.01835,129761664.0593,125767764.612025,122509374.116,122398471.76,123371089.1282,123970916.49,125638583.407,129744408.811461,132167786.601817,120924604.827864,123261482.829357
Maine,ME,5884875.795751,5875354.195577,5189692.446688,4570229.1248,4726595.128373,4079006.042391,3685147.303863,3071927.582105,3191250.170087,2922945.075765,2836552.106192,3269770.828762
Maryland,MD,33461710.625314,30828241.033,24849286.506,22848676.896,25318215.506,22476150.576,22378313.58,17499832.152,22244915.968,18341307.832,15567340.618,18239491.65
