CountyName,CountyID,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Autauga County,geoId/01001,14375.5,102689.75,105465.75,94724.0,87247.0,66909.5,77236.5,76806.5,70070.25,69881.75,65323.75,65884.0
Baldwin County,geoId/01003,0.0,9178.0,16543.5,10648.0,14715.0,11771.5,27662.5,5016.0,5730.0,5227.75,6634.75,6671.75
Baldwin County,geoId/13009,0.0,9178.0,16543.5,10648.0,14715.0,11771.5,27662.5,5016.0,5730.0,5227.75,6634.75,6671.75
Barbour County,geoId/01005,0.0,404513.0,372969.25,405799.75,365771.0,323319.75,400893.75,559443.25,550500.75,493613.75,447089.5,612664.0
Barbour County,geoId/54001,0.0,404513.0,372969.25,405799.75,365771.0,323319.75,400893.75,559443.25,550500.75,493613.75,447089.5,612664.0
Blount County,geoId/01009,79626.5,39519.25,40564.75,45040.5,47563.25,44649.0,52982.5,75444.5,71655.5,70999.0,68145.0,84954.25
Blount County,geoId/47009,79626.5,39519.25,40564.75,45040.5,47563.25,44649.0,52982.5,75444.5,71655.5,70999.0,68145.0,84954.25
Calhoun County,geoId/01015,9219.0,53062.25,35034.0,55287.25,34639.0,30819.5,31094.0,29778.0,27210.25,27430.0,28258.25,47791.75
Calhoun County,geoId/05013,9219.0,53062.25,35034.0,55287.25,34639.0,30819.5,31094.0,29778.0,27210.25,27430.0,28258.25,47791.75
Calhoun County,geoId/12013,9219.0,53062.25,35034.0,55287.25,34639.0,30819.5,31094.0,29778.0,27210.25,27430.0,28258.25,47791.75
Calhoun County,geoId/13037,9219.0,53062.25,35034.0,55287.25,34639.0,30819.5,31094.0,29778.0,27210.25,27430.0,28258.25,47791.75
Calhoun County,geoId/17013,9219.0,53062.25,35034.0,55287.25,34639.0,30819.5,31094.0,29778.0,27210.25,27430.0,28258.25,47791.75
Calhoun County,geoId/19025,9219.0,53062.25,35034.0,55287.25,34639.0,30819.5,31094.0,29778.0,27210.25,27430.0,28258.25,47791.75
Calhoun County,geoId/26025,9219.0,53062.25,35034.0,55287.25,34639.0,30819.5,31094.0,29778.0,27210.25,27430.0,28258.25,47791.75
Calhoun County,geoId/28013,9219.0,53062.25,35034.0,55287.25,34639.0,30819.5,31094.0,29778.0,27210.25,27430.0,28258.25,47791.75
