StateName,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alabama,AL,2847543.297475,11166871.1,10294319.089275,10586368.425,10458264.0,9848154.0825,8694394.975,9216931.15,9488912.575,8921110.825,8635219.725,7657440.425
Alaska,AK,604977.75,1130750.75,1086911.11645,1257081.25,1154261.0,1036047.5,1354763.0,1459761.25,879904.25,894744.5,825448.5,871681.75
Arizona,AZ,1161632.5199,1356492.928025,1428118.49195,1402576.0,1680164.0,1568840.0,1618595.0,1503692.5,1484753.75,1567768.5,1306908.0,1361141.25
Arkansas,AR,1759885.270925,2500659.05175,2569157.6375,2205653.0,2163836.0,2238893.0,2246563.5,1932314.5,1965029.0,2052904.25,2085514.0,2123889.0
California,CA,7970055.76345634,11730200.891929,11156744.938825,10156937.375,9983109.575,9692384.75,8561596.5,8962590.5,8854385.75,9130658.75,9162385.25,8737629.75
Colorado,CO,1417777.081425,10757200.666275,10600037.370675,9091041.325,9016410.15,8696952.54575,11569071.7125,11213594.05,12039046.635,11939918.7775,10044654.6375,8793630.9425
Connecticut,CT,278442.020125,434105.990275,386989.686875,367265.225,343941.575,349680.0,335929.5,341309.975,330865.6,347878.05,313409.3,309106.875
Delaware,DE,138621.45,267131.125,315390.675,320099.925,374317.45,502652.725,496745.15,488157.125,439427.75,432013.75,391747.25,401666.25
District of Columbia,DC,308.0,211.5,71.25,46.75,56.0,52.5,47.5,50.0,57.25,51.25,47.0,41.5
Florida,FL,6484271.211775,6309868.9345,6748690.84455,6428673.0,6479814.55315,6311483.70240875,6572172.034592,7029005.22273045,7343508.3400535,7387995.375,6440897.275,6603958.075
Georgia,GA,4956268.46815,5009355.901025,5416413.6482,5743888.75,5852373.25,5704800.0,5258949.0,5274283.0,5664404.5,5847350.25,5975386.25,5377826.75
Hawaii,HI,316535.285825,329229.47145,377425.2388,331539.15,311561.25,310843.75,248169.0,254282.5,228784.75,217700.75,191869.75,208836.0
Idaho,ID,331907.25,359478.0,423838.5,590750.5,567423.5,656055.25,611533.25,593649.25,561630.0,635916.5,632242.25,558383.25
Illinois,IL,4119585.9734,6971156.14933967,7787883.77388081,8092516.0,7980262.5,9270248.0,9130385.5,7319388.125,6507850.675,5996672.8,5717460.5,5301279.825
Indiana,IN,3771312.12195,6285758.721925,6432888.697175,6458463.75,6412312.0,6554365.25,5914871.0,5842558.75,6007298.25,6542888.25,5662223.5,5277592.25
Iowa,IA,1199225.7491,2015285.59265,1764165.49405,1626005.75,1519498.0,1566591.25,1580390.0,1699228.225,1734056.65,1604391.0,1552900.75,1500489.0
Kansas,KS,2129700.581925,2518579.267875,2703757.86205,2543265.25,2562203.5,2023491.75,1917337.0,1500311.25,1740208.25,1508335.5,1418258.5,1463059.5
Kentucky,KY,2096797.28195,4475415.42842996,4224380.32130602,3880576.25,4364966.325,3999348.575,3488543.4,3582216.475,3730491.0,3663861.325,3201584.95,2891220.825
Louisiana,LA,1947607.09535,3747093.0742,3881244.132025,3989897.6,3894325.775,3599951.30875,3578535.125,4069411.525,4448286.02650657,4173343.80430138,3490779.3269516,3368345.24905157
Maine,ME,219473.45945,553840.972875,442261.19415,337138.7,338075.4,305004.775,280193.7,267122.375,257795.375,252551.15,193106.525,208122.2
Maryland,MD,1591572.94485,1761159.45,1402572.45,1330444.6,1443647.0,1249118.0,1281733.0,1316685.5,1267440.5,1288332.25,1232850.5,1164380.5
